Designator,Footprint,Quantity,Value,LCSC Part #
BZ701,Buzzer - MLT-8530_JHE,1,Buzzer_-_MLT-8530,C94599
"C10, C21",C_0805,2,22uF,C45783
"C11, C12, C13, C15, C16, C2301, C752, C8, C9",0402,9,100nF,C1525
"C14, C5001, C5101, C5201, C5301, C5401, C5501, C5601, C5701, C5801",C_0603,10,10nF,C57112
"C17, C20",C_0603,2,18pF,C1647
"C18, C6",C_0805,2,10uF,C440198
"C19, C26, C7, C702, C703, C704, C705, C751, C951, C953",0603,10,100nF,C14663
"C2, C22, C2201, C2302, C3, C4, C5, C701, C753, C952, C954, C955",0603,12,10uF,C96446
"C23, C25",C_0603,2,2.2uF,C23630
C24,C_0603,1,1uF,C15849
C754,C_0402,1,1nF,C1523
C801,C_0603,1,47nF,C1622
"D10, D14, D19, D22, D6, D9",0603,6,LED-RED,C2286
"D11, D15, D4, D7",0603,4,LED-YELLOW,C72038
"D12, D21",D_MicroSMP_AK,2,Schotty V1P6-M3/H 60V 1A,C3757499
"D13, D5",0603,2,LED-WHITE,C2290
D2,D_SMC,1,SM15T100CA,C1975873
D3,D_SMC,1,B340,
"D5001, D5101, D5201, D5301, D5401, D5501, D5601, D5701, D5801",D_SOD-323_TVS,9,PESD24VF1BLYL,
"D5002, D5102, D5202, D5302, D5402, D5502, D5602, D5702, D5802",SOT-23,9,BAT54S,
D701,D_SOD-523,1,RB751S-40,C7502700
D8,D_SMC,1,SM15T24A,
D801,SOT-23-6,1,SRV05-4,C2836319
D802,D_SOD-123,1,B5819W SL,C8598
"F2, F3, F4, F5, F6, F7, F8, F801",0805,8,Fuse_16V_500mA_100A_1A_150mΩ_PTC,C2833485
"FB2, FB2301",0603,2,4.7uH,C1034
FB701,0805,1,~,C1015
J16,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,JST  GH,C189892
J2,Conn_SAMTEC_FTSH-107-01-F-DV-K-Fix,1,Conn_ST_STDC14,
J4,CONN_DF40HC-100DS_HIR,1,DF40HC3.0-100DS-0.4V51,
"J801, J826",USB_C_Receptacle_G-Switch_GT-USB-7051x,2,USB_C_Receptacle_USB2.0_16P,C2843970
"L2, L3",L_Sunlord_SWPA4030S,2,3.3uH,C15269
Q701,Q_SOT-23,1,AO3400A,C20917
"R1, R751",R_0603,2,100kΩ,C25803
"R10, R18, R4, R5",R_0603,4,2.2kΩ,C4190
"R11, R14, R15, R2, R22, R3, R7",R_0603,7,2.7kΩ,C13167
"R12, R17, R19, R5003, R5103, R5203, R5303, R5403, R5503, R5603, R5703, R5803, R6, R9",R_0603,14,10kΩ,C25804
"R13, R24, R753",R_0603,3,47Ω,C23182
"R16, R8",R_0603,2,56kΩ,C23206
"R20, R21",R_0603,2,100Ω,C22775
R223,R_0603,1,200Ω,C8218
"R5001, R5101, R5201, R5301, R5401, R5501, R5601, R5701, R5801",R_0805,9,1kΩ,C17513
"R5002, R5102, R5202, R5302, R5402, R5502, R5602, R5702, R5802",R_0603,9,47kΩ,C25819
R701,R_0402,1,100R,C25076
"R702, R754, R755, R756, R804",0402,5,10K,C25744
"R703, R704",0603,2,150Ω,C22808
"R752, R802, R803, R827, R828",R_0402,5,5.1kΩ,C25905
R757,R_0402,1,1kΩ,C11702
R801,R_0603,1,1MΩ,C22935
R805,R_0402,1,2.2k,C25879
R951,1206,1,120R,C17909
"RN2, RN3",R_Array_Convex_4x0603,2,1k,C20197
"SW2, SW3",SW_TS-1088-AR02016,2,"Tactile Button, 160gf",C720477
"U1, U2",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,2,TLV76733DRVx,
U2201,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,C2980300
U3,LQFP-100_14x14mm_P0.5mm,1,STM32F427V_G-I_Tx,C117815
"U4, U5",QFN6x6_VN9D30_STM,2,VN9E30F,
"U6, U7",SOT-23-6,2,LMR14206,
U751,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ISM330DHCX, C2655101
U951,SOIC-8_7.5x5.85mm_P1.27mm,1,ISO1042-Q1,C2672259
U952,B0505_Isolated_SMD,1,B0505XT-1WR3,C19188495
X2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz 20pF,C115962
